id,pedido_id,cliente_id,categoria_problema,data_abertura,data_resolucao,status,id_x,produto_id,quantidade,preco_praticado,desconto_aplicado,id_y,nome,categoria,subcategoria,preco_unitario,custo_unitario,fornecedor
1,6773,2789,troca,2023-05-21,,aberto,16633,22,1,563.16,0.04,22,Smart TVs 22,Eletrônicos,Smart TVs,586.63,411.32,GlobalBR Comércio
2,5419,2077,troca,2024-05-05,2024-05-09,resolvido,13271,5,5,1288.54,0.03,5,Notebooks 5,Eletrônicos,Notebooks,1328.39,672.73,GlobalBR Comércio
2,5419,2077,troca,2024-05-05,2024-05-09,resolvido,13272,163,5,756.94,0.01,163,Acessórios 163,Moda,Acessórios,764.59,378.28,AlphaSupply
3,1872,512,atraso,2024-12-22,2024-12-27,resolvido,4516,187,1,789.92,0.01,187,Cafés 187,Alimentos & Bebidas,Cafés,797.9,355.62,MarcoPolo Distribuição
3,1872,512,atraso,2024-12-22,2024-12-27,resolvido,4517,106,4,2257.5,0.02,106,Vitaminas 106,Beleza & Saúde,Vitaminas,2303.57,1029.09,SulFornece SA
4,6423,2721,troca,2023-07-11,2023-07-18,resolvido,15753,114,1,872.63,0.01,114,Cafés 114,Alimentos & Bebidas,Cafés,881.44,396.49,DeltaFornece ME
4,6423,2721,troca,2023-07-11,2023-07-18,resolvido,15754,75,2,1908.42,0.0,75,Tênis Esportivo 75,Esporte & Lazer,Tênis Esportivo,1908.42,1300.2,GlobalBR Comércio
4,6423,2721,troca,2023-07-11,2023-07-18,resolvido,15755,123,1,1895.91,0.05,123,Vinhos 123,Alimentos & Bebidas,Vinhos,1995.7,1350.8,TechBrasil Ltda
4,6423,2721,troca,2023-07-11,2023-07-18,resolvido,15756,85,4,3367.26,0.01,85,Camping 85,Esporte & Lazer,Camping,3401.27,2144.47,TechBrasil Ltda
5,646,2956,dúvida,2023-05-07,,aberto,1567,185,3,932.67,0.03,185,Smart TVs 185,Eletrônicos,Smart TVs,961.52,634.28,MarcoPolo Distribuição
6,2347,1739,defeito,2024-06-05,,escalado,5720,26,3,3002.87,0.02,26,Câmeras 26,Eletrônicos,Câmeras,3064.15,1435.33,NorteImport Ltda
6,2347,1739,defeito,2024-06-05,,escalado,5721,126,5,2191.26,0.04,126,Snacks Saudáveis 126,Alimentos & Bebidas,Snacks Saudáveis,2282.56,1024.25,AlphaSupply
6,2347,1739,defeito,2024-06-05,,escalado,5722,93,1,2828.52,0.02,93,Cosméticos 93,Beleza & Saúde,Cosméticos,2886.24,1265.79,FornecedorX
6,2347,1739,defeito,2024-06-05,,escalado,5723,21,3,1130.36,0.02,21,Smart TVs 21,Eletrônicos,Smart TVs,1153.43,796.08,TechBrasil Ltda
6,2347,1739,defeito,2024-06-05,,escalado,5724,50,1,2822.11,0.05,50,Móveis 50,Casa & Decoração,Móveis,2970.64,1377.71,FornecedorX
6,2347,1739,defeito,2024-06-05,,escalado,5725,41,3,951.37,0.02,41,Acessórios 41,Moda,Acessórios,970.79,611.57,GlobalBR Comércio
7,8493,2456,atraso,2023-03-30,2023-04-10,resolvido,20794,162,4,211.56,0.14,162,Cuidados com a Pele 162,Beleza & Saúde,Cuidados com a Pele,246.0,103.27,NorteImport Ltda
8,9416,2935,atraso,2024-05-06,,escalado,23001,68,1,1732.57,0.15,68,Vasos 68,Casa & Decoração,Vasos,2038.32,1027.69,MarcoPolo Distribuição
8,9416,2935,atraso,2024-05-06,,escalado,23002,189,3,1825.79,0.11,189,Vinhos 189,Alimentos & Bebidas,Vinhos,2051.45,1072.43,SulFornece SA
8,9416,2935,atraso,2024-05-06,,escalado,23003,134,5,219.77,0.22,134,Literatura 134,Livros & Papelaria,Literatura,281.75,123.22,MarcoPolo Distribuição
8,9416,2935,atraso,2024-05-06,,escalado,23004,185,4,932.67,0.03,185,Smart TVs 185,Eletrônicos,Smart TVs,961.52,634.28,MarcoPolo Distribuição
9,453,136,dúvida,2023-03-17,2023-03-27,resolvido,1091,89,1,1784.07,0.06,89,Natação 89,Esporte & Lazer,Natação,1897.95,1151.37,NorteImport Ltda
10,10501,1465,cobrança,2023-08-22,2023-08-23,resolvido,25738,61,4,363.71,0.13,61,Tapetes 61,Casa & Decoração,Tapetes,418.06,240.04,MegaDistribuidora
10,10501,1465,cobrança,2023-08-22,2023-08-23,resolvido,25739,11,3,1059.11,0.27,11,Fones de Ouvido 11,Eletrônicos,Fones de Ouvido,1450.84,788.4,MegaDistribuidora
10,10501,1465,cobrança,2023-08-22,2023-08-23,resolvido,25740,31,4,161.68,0.1,31,Camisetas 31,Moda,Camisetas,179.64,121.35,GlobalBR Comércio
10,10501,1465,cobrança,2023-08-22,2023-08-23,resolvido,25741,163,4,642.26,0.16,163,Acessórios 163,Moda,Acessórios,764.59,378.28,AlphaSupply
10,10501,1465,cobrança,2023-08-22,2023-08-23,resolvido,25742,84,5,1939.22,0.06,84,Equipamentos de Academia 84,Esporte & Lazer,Equipamentos de Academia,2063.0,1131.64,GlobalBR Comércio
10,10501,1465,cobrança,2023-08-22,2023-08-23,resolvido,25743,46,5,445.72,0.01,46,Roupas Íntimas 46,Moda,Roupas Íntimas,450.22,336.42,NorteImport Ltda
11,6101,1852,atraso,2024-09-15,2024-09-30,resolvido,14971,132,1,3200.68,0.0,132,Literatura 132,Livros & Papelaria,Literatura,3200.68,2070.06,GlobalBR Comércio
11,6101,1852,atraso,2024-09-15,2024-09-30,resolvido,14972,26,4,3033.51,0.01,26,Câmeras 26,Eletrônicos,Câmeras,3064.15,1435.33,NorteImport Ltda
11,6101,1852,atraso,2024-09-15,2024-09-30,resolvido,14973,100,1,2757.05,0.01,100,Cuidados com a Pele 100,Beleza & Saúde,Cuidados com a Pele,2784.9,1887.78,SulFornece SA
11,6101,1852,atraso,2024-09-15,2024-09-30,resolvido,14974,129,1,2222.58,0.04,129,Livros Técnicos 129,Livros & Papelaria,Livros Técnicos,2315.19,1057.09,MarcoPolo Distribuição
11,6101,1852,atraso,2024-09-15,2024-09-30,resolvido,14975,25,4,1264.61,0.0,25,Câmeras 25,Eletrônicos,Câmeras,1264.61,902.26,AlphaSupply
12,6684,2448,dúvida,2023-02-17,,aberto,16416,43,3,1291.79,0.03,43,Acessórios 43,Moda,Acessórios,1331.74,631.79,DeltaFornece ME
12,6684,2448,dúvida,2023-02-17,,aberto,16417,51,1,34.83,0.04,51,Móveis 51,Casa & Decoração,Móveis,36.28,16.67,NorteImport Ltda
12,6684,2448,dúvida,2023-02-17,,aberto,16418,62,5,237.08,0.04,62,Quadros 62,Casa & Decoração,Quadros,246.96,156.18,DeltaFornece ME
12,6684,2448,dúvida,2023-02-17,,aberto,16419,13,2,1935.59,0.02,13,Fones de Ouvido 13,Eletrônicos,Fones de Ouvido,1975.09,1098.87,NorteImport Ltda
12,6684,2448,dúvida,2023-02-17,,aberto,16420,102,3,643.55,0.01,102,Cuidados com a Pele 102,Beleza & Saúde,Cuidados com a Pele,650.05,438.02,DeltaFornece ME
13,5479,2757,dúvida,2024-01-25,,escalado,13424,75,2,1851.17,0.03,75,Tênis Esportivo 75,Esporte & Lazer,Tênis Esportivo,1908.42,1300.2,GlobalBR Comércio
13,5479,2757,dúvida,2024-01-25,,escalado,13425,99,2,3206.93,0.0,99,Perfumes 99,Beleza & Saúde,Perfumes,3206.93,2110.35,MegaDistribuidora
14,3972,1022,cobrança,2024-05-23,,aberto,9649,92,1,2005.27,0.02,92,Cosméticos 92,Beleza & Saúde,Cosméticos,2046.19,1220.93,FornecedorX
15,5911,2712,troca,2024-12-03,2024-12-10,resolvido,14495,136,1,1341.47,0.07,136,Agendas 136,Livros & Papelaria,Agendas,1442.44,947.74,MegaDistribuidora
16,10238,1217,defeito,2023-05-21,2023-05-22,resolvido,25097,54,5,3181.03,0.04,54,Luminárias 54,Casa & Decoração,Luminárias,3313.57,1406.01,DeltaFornece ME
17,8594,1950,atraso,2023-06-09,,aberto,21049,160,3,2849.4,0.04,160,Cadeirinhas 160,Bebês & Crianças,Cadeirinhas,2968.13,1330.24,MegaDistribuidora
18,9443,494,cobrança,2023-05-15,2023-05-18,resolvido,23082,132,1,3072.65,0.04,132,Literatura 132,Livros & Papelaria,Literatura,3200.68,2070.06,GlobalBR Comércio
18,9443,494,cobrança,2023-05-15,2023-05-18,resolvido,23083,58,2,1893.01,0.03,58,Luminárias 58,Casa & Decoração,Luminárias,1951.56,977.09,FornecedorX
19,12104,1903,dúvida,2023-03-14,2023-03-22,resolvido,29655,26,4,2665.81,0.13,26,Câmeras 26,Eletrônicos,Câmeras,3064.15,1435.33,NorteImport Ltda
19,12104,1903,dúvida,2023-03-14,2023-03-22,resolvido,29656,96,2,1459.12,0.06,96,Cosméticos 96,Beleza & Saúde,Cosméticos,1552.26,847.02,MegaDistribuidora
20,7365,1601,atraso,2023-05-26,2023-06-08,resolvido,18065,156,4,55.49,0.05,156,Roupas Infantis 156,Bebês & Crianças,Roupas Infantis,58.41,25.14,FornecedorX
21,9019,970,dúvida,2023-12-14,2023-12-23,resolvido,22051,68,3,1977.17,0.03,68,Vasos 68,Casa & Decoração,Vasos,2038.32,1027.69,MarcoPolo Distribuição
21,9019,970,dúvida,2023-12-14,2023-12-23,resolvido,22052,44,2,1119.91,0.02,44,Acessórios 44,Moda,Acessórios,1142.77,719.41,MarcoPolo Distribuição
21,9019,970,dúvida,2023-12-14,2023-12-23,resolvido,22053,125,3,323.26,0.02,125,Chocolates 125,Alimentos & Bebidas,Chocolates,329.86,174.33,AlphaSupply
22,11887,1444,dúvida,2023-06-25,2023-06-28,resolvido,29120,85,3,3265.22,0.04,85,Camping 85,Esporte & Lazer,Camping,3401.27,2144.47,TechBrasil Ltda
22,11887,1444,dúvida,2023-06-25,2023-06-28,resolvido,29121,16,3,390.93,0.04,16,Fones de Ouvido 16,Eletrônicos,Fones de Ouvido,407.22,239.56,MarcoPolo Distribuição
22,11887,1444,dúvida,2023-06-25,2023-06-28,resolvido,29122,8,5,1163.38,0.04,8,Notebooks 8,Eletrônicos,Notebooks,1211.85,814.08,GlobalBR Comércio
23,9973,2441,troca,2023-02-24,,escalado,24420,175,1,776.91,0.1,175,Calçados 175,Moda,Calçados,863.23,446.06,TechBrasil Ltda
23,9973,2441,troca,2023-02-24,,escalado,24421,11,2,1073.62,0.26,11,Fones de Ouvido 11,Eletrônicos,Fones de Ouvido,1450.84,788.4,MegaDistribuidora
24,14295,2776,defeito,2023-05-15,2023-05-16,resolvido,35067,145,4,3219.91,0.02,145,Fraldas 145,Bebês & Crianças,Fraldas,3285.62,1878.71,FornecedorX
24,14295,2776,defeito,2023-05-15,2023-05-16,resolvido,35068,141,4,1858.11,0.0,141,Material Escolar 141,Livros & Papelaria,Material Escolar,1858.11,1017.03,AlphaSupply
24,14295,2776,defeito,2023-05-15,2023-05-16,resolvido,35069,134,5,270.48,0.04,134,Literatura 134,Livros & Papelaria,Literatura,281.75,123.22,MarcoPolo Distribuição
24,14295,2776,defeito,2023-05-15,2023-05-16,resolvido,35070,19,1,920.51,0.02,19,Smart TVs 19,Eletrônicos,Smart TVs,939.3,600.58,SulFornece SA
24,14295,2776,defeito,2023-05-15,2023-05-16,resolvido,35071,4,5,3294.12,0.05,4,Notebooks 4,Eletrônicos,Notebooks,3467.5,1603.14,GlobalBR Comércio
25,4344,1770,dúvida,2023-12-08,2023-12-15,resolvido,10575,26,4,2910.94,0.05,26,Câmeras 26,Eletrônicos,Câmeras,3064.15,1435.33,NorteImport Ltda
25,4344,1770,dúvida,2023-12-08,2023-12-15,resolvido,10576,82,4,3170.25,0.03,82,Equipamentos de Academia 82,Esporte & Lazer,Equipamentos de Academia,3268.3,1773.47,MegaDistribuidora
26,11398,1768,troca,2024-05-25,2024-06-04,resolvido,27967,59,3,632.68,0.02,59,Tapetes 59,Casa & Decoração,Tapetes,645.59,333.12,FornecedorX
27,7203,479,dúvida,2024-08-03,2024-08-08,resolvido,17682,78,1,3211.7,0.01,78,Tênis Esportivo 78,Esporte & Lazer,Tênis Esportivo,3244.14,1605.43,TechBrasil Ltda
28,4455,1614,cobrança,2024-03-30,2024-03-31,resolvido,10857,9,3,2329.45,0.13,9,Tablets 9,Eletrônicos,Tablets,2677.53,1316.38,TechBrasil Ltda
29,6005,1383,atraso,2023-05-27,,aberto,14735,196,4,1031.3,0.03,196,Calçados 196,Moda,Calçados,1063.2,444.02,AlphaSupply
29,6005,1383,atraso,2023-05-27,,aberto,14736,44,5,1119.91,0.02,44,Acessórios 44,Moda,Acessórios,1142.77,719.41,MarcoPolo Distribuição
30,13626,2417,cobrança,2023-12-15,,escalado,33373,83,3,3454.48,0.0,83,Equipamentos de Academia 83,Esporte & Lazer,Equipamentos de Academia,3454.48,2319.44,SulFornece SA
31,12398,1214,troca,2024-12-26,2025-01-03,resolvido,30382,172,5,2702.64,0.01,172,Notebooks 172,Eletrônicos,Notebooks,2729.94,1122.36,AlphaSupply
31,12398,1214,troca,2024-12-26,2025-01-03,resolvido,30383,24,4,2853.68,0.03,24,Câmeras 24,Eletrônicos,Câmeras,2941.94,2022.0,NorteImport Ltda
31,12398,1214,troca,2024-12-26,2025-01-03,resolvido,30384,55,5,2463.92,0.02,55,Luminárias 55,Casa & Decoração,Luminárias,2514.2,1470.04,SulFornece SA
32,7152,263,dúvida,2024-01-15,2024-01-18,resolvido,17559,124,2,2110.86,0.04,124,Chocolates 124,Alimentos & Bebidas,Chocolates,2198.81,1230.03,GlobalBR Comércio
32,7152,263,dúvida,2024-01-15,2024-01-18,resolvido,17560,41,1,922.25,0.05,41,Acessórios 41,Moda,Acessórios,970.79,611.57,GlobalBR Comércio
32,7152,263,dúvida,2024-01-15,2024-01-18,resolvido,17561,176,4,745.36,0.03,176,Fones de Ouvido 176,Eletrônicos,Fones de Ouvido,768.41,431.48,TechBrasil Ltda
33,10437,1674,atraso,2023-09-07,,escalado,25591,199,1,1773.8,0.12,199,Calças 199,Moda,Calças,2015.68,1178.62,GlobalBR Comércio
33,10437,1674,atraso,2023-09-07,,escalado,25592,195,5,105.26,0.18,195,Acessórios 195,Moda,Acessórios,128.36,64.44,SulFornece SA
33,10437,1674,atraso,2023-09-07,,escalado,25593,7,4,422.62,0.15,7,Notebooks 7,Eletrônicos,Notebooks,497.2,294.9,SulFornece SA
34,13790,623,troca,2024-07-24,2024-07-26,resolvido,33761,119,5,1134.03,0.02,119,Chás 119,Alimentos & Bebidas,Chás,1157.17,511.74,MarcoPolo Distribuição
34,13790,623,troca,2024-07-24,2024-07-26,resolvido,33762,50,3,2970.64,0.0,50,Móveis 50,Casa & Decoração,Móveis,2970.64,1377.71,FornecedorX
35,14552,274,defeito,2023-11-28,2023-12-07,resolvido,35647,161,1,1785.05,0.22,161,Câmeras 161,Eletrônicos,Câmeras,2288.52,1276.02,DeltaFornece ME
35,14552,274,defeito,2023-11-28,2023-12-07,resolvido,35648,82,4,2778.06,0.15,82,Equipamentos de Academia 82,Esporte & Lazer,Equipamentos de Academia,3268.3,1773.47,MegaDistribuidora
35,14552,274,defeito,2023-11-28,2023-12-07,resolvido,35649,10,3,1519.03,0.03,10,Tablets 10,Eletrônicos,Tablets,1566.01,830.63,DeltaFornece ME
36,9850,812,troca,2023-10-03,2023-10-11,resolvido,24090,182,3,1026.21,0.01,182,Equipamentos de Academia 182,Esporte & Lazer,Equipamentos de Academia,1036.58,699.98,SulFornece SA
37,5618,1216,atraso,2024-12-01,2024-12-17,resolvido,13768,171,2,55.68,0.02,171,Fones de Ouvido 171,Eletrônicos,Fones de Ouvido,56.82,33.59,SulFornece SA
37,5618,1216,atraso,2024-12-01,2024-12-17,resolvido,13769,137,1,142.68,0.02,137,Agendas 137,Livros & Papelaria,Agendas,145.59,75.09,SulFornece SA
37,5618,1216,atraso,2024-12-01,2024-12-17,resolvido,13770,195,3,123.23,0.04,195,Acessórios 195,Moda,Acessórios,128.36,64.44,SulFornece SA
37,5618,1216,atraso,2024-12-01,2024-12-17,resolvido,13771,198,3,1491.97,0.03,198,Vitaminas 198,Beleza & Saúde,Vitaminas,1538.11,856.98,SulFornece SA
38,7103,934,troca,2024-02-08,2024-02-13,resolvido,17431,168,5,993.57,0.03,168,Luminárias 168,Casa & Decoração,Luminárias,1024.3,504.73,AlphaSupply
38,7103,934,troca,2024-02-08,2024-02-13,resolvido,17432,106,5,2234.46,0.03,106,Vitaminas 106,Beleza & Saúde,Vitaminas,2303.57,1029.09,SulFornece SA
39,11696,1925,dúvida,2024-05-10,2024-05-13,resolvido,28686,28,1,2802.65,0.04,28,Camisetas 28,Moda,Camisetas,2919.43,1429.85,DeltaFornece ME
39,11696,1925,dúvida,2024-05-10,2024-05-13,resolvido,28687,180,5,3355.97,0.04,180,Livros Técnicos 180,Livros & Papelaria,Livros Técnicos,3495.8,1534.08,MegaDistribuidora
39,11696,1925,dúvida,2024-05-10,2024-05-13,resolvido,28688,10,2,1550.35,0.01,10,Tablets 10,Eletrônicos,Tablets,1566.01,830.63,DeltaFornece ME
39,11696,1925,dúvida,2024-05-10,2024-05-13,resolvido,28689,103,3,1781.42,0.04,103,Cuidados com a Pele 103,Beleza & Saúde,Cuidados com a Pele,1855.65,1169.8,MegaDistribuidora
